Geneid,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20,MM21
nbis-gene-1,1449,1307,1059,3463,2765,3225,8130,9836,9736
nbis-gene-2,7457,6087,5022,6751,5342,5991,5824,6662,6373
nbis-gene-3,7267,5699,4854,7229,5502,6182,7224,7747,7295
nbis-gene-4,21461,18209,15498,22093,15646,20513,22772,24424,22214
nbis-gene-5,893,800,670,1261,894,1147,777,972,870
nbis-gene-6,3025,2427,2124,9384,6941,8565,10726,10997,10454
nbis-gene-7,2680,2055,1604,8854,6539,8194,8017,9170,8728
nbis-gene-8,921,774,656,1543,1181,1606,1242,1506,1333
nbis-gene-9,56269,46580,35328,70936,52109,65295,11701,22758,27435
nbis-gene-10,1107,859,651,1631,1244,1395,1149,1390,1172
nbis-gene-11,2865,2729,2192,4553,3456,4260,3951,4196,3881
nbis-gene-12,55212,44280,37066,49154,43334,34423,29954,41112,40389
nbis-gene-13,1036,991,948,968,676,918,1088,1262,917
nbis-gene-14,302,275,278,195,169,219,396,307,295
nbis-gene-15,1946,1461,1458,8911,5754,8610,11027,11433,10168
nbis-gene-16,7859,6900,6007,4568,3126,4171,1934,2800,3234
nbis-gene-17,1761,1542,1307,912,669,677,477,643,693
nbis-gene-18,12883,12068,10108,11922,9729,11829,7724,10539,10017
nbis-gene-19,763,775,745,3536,2973,4021,5373,5659,4687
nbis-gene-20,3119,3328,2499,4749,3651,4723,6314,7811,6032
nbis-gene-21,18002,16732,16365,23778,18295,21173,18543,22676,21076
nbis-gene-22,4925,3621,2815,8836,6669,7470,6353,7830,7291
nbis-gene-23,6113,4694,3573,12220,9047,10442,9605,10969,10370
nbis-gene-24,1300,1189,848,2466,1977,1954,2543,2744,2346
nbis-gene-25,4765,4186,3881,6105,4235,5075,5885,6684,5653
nbis-gene-26,2157,1547,1295,3207,2223,3031,3325,3457,2899
nbis-gene-27,2448,1913,1449,3668,2500,3335,4053,4111,3447
nbis-gene-28,9282,6890,5538,7402,4538,6234,5760,6207,5858
nbis-gene-29,8877,7720,6400,7706,5606,7012,3163,4523,5031
nbis-gene-30,4511,4013,3558,5448,4354,4890,3249,4888,4814
nbis-gene-31,9385,7663,5705,6471,5115,4889,3645,4922,4507
nbis-gene-32,38774,32203,26533,29369,19962,26233,13887,19662,21182
nbis-gene-33,2259,1988,1609,1512,1141,1324,910,1219,1125
nbis-gene-34,169287,153146,149990,141202,109351,128191,110354,123738,113264
nbis-gene-35,9812,8068,6299,13728,9241,12526,17619,16781,14899
nbis-gene-36,4748,4065,3424,5566,3752,5040,7500,6922,5924
nbis-gene-37,10221,8140,6697,50070,36641,50921,77032,68137,61138
nbis-gene-38,33802,28254,22743,34574,23028,31907,16997,19816,19202
nbis-gene-39,10231,10017,7047,5220,4291,3892,2508,3511,3507
nbis-gene-40,7445,6182,5124,5215,3463,4440,1396,1832,1940
nbis-gene-41,12431,9810,8100,6951,4724,6114,2023,2800,2878
nbis-gene-42,10097,8587,7193,5336,3544,4839,1956,2375,2381
nbis-gene-43,4438,3692,2967,3326,2251,3082,1267,1593,1542
nbis-gene-44,1491,1322,1087,962,655,764,375,510,490
nbis-gene-45,17800,13665,10473,24104,16922,20390,16967,19100,16651
nbis-gene-46,58250,44484,36926,79166,59192,74941,54528,63187,55474
nbis-gene-47,19611,15456,12384,26299,19326,24408,19934,21077,19000
nbis-gene-48,51869,40093,33350,66748,48302,62888,49499,56546,49399
nbis-gene-49,16906,14603,11549,14958,11189,14469,11039,14071,12476
nbis-gene-50,52022,40556,34856,43764,33396,38746,32070,39166,36146
