"","MM13","MM14","MM15","MM16","MM17","MM18","MM19","MM20","MM21"
"nbis-gene-1",1267.85597586774,1411.98537618213,1367.68607468844,2728.79418015099,2980.72133537511,2905.1549674696,9239.74274024342,9256.24075735641,9603.83940765553
"nbis-gene-2",6524.77709595977,6575.94107484363,6485.85407656785,5319.69087790913,5758.77518031604,5396.83206515051,6618.97438120267,6269.32451459012,6286.49019566441
"nbis-gene-3",6358.52959049748,6156.77479637487,6268.88404772209,5696.34800124502,5931.25815089832,5568.88930508437,8210.07399206869,7290.37181244816,7195.97457670985
"nbis-gene-4",18778.093235402,19671.6463006124,20015.4851610212,17408.9661628865,16866.6784858152,18478.5872395981,25880.371670458,22984.3863621058,21912.4577446241
"nbis-gene-5",781.363275672801,864.26036797682,865.297138849155,993.649858842159,963.748598128517,1033.24426284888,883.060284030644,914.707809694025,858.190251094938
"nbis-gene-6",2646.83528433396,2621.94989134968,2743.12107897852,7394.4569987112,7482.52686757275,7715.55109965183,12190.0960186779,10348.8084189354,10312.0929712028
"nbis-gene-7",2344.96481388926,2220.06882024046,2071.54718017022,6976.82462346429,7049.16340398476,7381.34567548711,9111.31827165209,8629.49651738087,8609.52242707657
"nbis-gene-8",805.862908056719,836.171906017573,847.216303112009,1215.86180189806,1273.13992661049,1446.72213263758,1411.53265478257,1417.23247057531,1314.9052927696
"nbis-gene-9",49234.636236095,50321.5599254503,45625.6974944223,55896.5474915364,56174.4694629518,58819.253829745,13298.1832476738,21416.5847047496,27062.5856767697
"nbis-gene-10",968.6104660356,927.99957011511,840.758861777314,1285.20453590132,1341.05509627727,1256.64842778918,1305.83818063219,1308.06981015915,1156.09077503824
"nbis-gene-11",2506.83738499728,2948.20818026093,2830.94228113037,3587.698499055,3725.63216457735,3837.50702679706,4490.31040180833,3948.67692332935,3828.3176603442
"nbis-gene-12",48309.7751136021,47836.811367517,47870.3041023624,38732.6448545024,46714.8565450796,31009.0385876608,34042.7126742007,38688.7525433547,39840.7425879005
"nbis-gene-13",906.486398204952,1070.60253083129,1224.33087705821,762.770074035852,728.740550710154,826.955739577394,1236.51169758731,1187.61446073442,904.552253165584
"nbis-gene-14",264.246034997969,297.089501492032,359.033738209053,153.657194666313,182.185137677538,197.280290814215,450.053889930676,288.90462713587,290.995544911502
